sample,Site,Visit,Category,treatment.status,WaterPotential_MPa,PercentMoisture,Total.N,Total.C,CN.ratio,OM.LOI,pH,EC,NH4,NO3,P,meanDepth,meanSPC,waterpH,meanORP,Phrag Present,NoSpecies_1,DomSpecies_1,Listspecies_1,NoSpecies_2,DomSpecies_2,Listspecies_2,NoSpecies_3,DomSpecies_3,Listspecies_3,NoSpecies_4,DomSpecies_4,Listspecies_4,NoSpecies_5,DomSpecies_5,Listspecies_5,MeanSpecies,mean.canopy,mean.stem.density,lat,long,Location,Area,plotID,year.last.treatment,treatment.2021,herbicide.2021,num_treatments,num_phrag_total,percent.phrag,num_phrag_per,phrag.present,isimpaired,algal.growth,cause.unk.impaired.biota,metals.other.hg,nutrients,oxygen.depletion,pathogens,polychlorinated.biphenyls,solids.chlorides.sulfates,temperatur,unimpaired,mean.orp,mean.orp.10,mean.orp.20,mean.do.mg,mean.do.percent,mean.depth,mean.mulch,mean.temp,np.ratio,sp.richness,treatment.2021,soil.salinity,nanodrop.dna,Al1670,As1890,B_2497,Ba4554,Ca3179,Cd2265,Co2286,Cr2835,Cu3247,Fe2382,K_7664,Mg2852,Mn2576,Mo2020,Na5895,Ni2316,P_1782,Pb2203,S_1820,Se1960,Si2516,Sr4077,Ti3088,V_3093,Zn2138
72A,72,A,Treated,Treated,-0.56,38,0.136,3.215,23.6886,3.2,7.848,1.376,5.9342,0.2887,29.28,-30,NA,NA,NA,Yes,3,tamarisk,"thistle, tamarisk, phragmites",3,phragmites,"phragmites, thistle, tamarisk",6,thistle,"thistle, phragmites, ?",4,american bullrush,"american bullrush, phragmites, tamarisk, ?",4,phragmites,"phragmites, thistle, ?",4,37.8,74,40.35317,-111.89859,Inlet Park Saratoga,Utah Lake,UL11,2021,Mow,N,2,6,40,2,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,267.8,261.6,NA,NA,-30,2,NA,10.27117199,5,Mow,Fresh,82.2,33.33,0.0482,0.0896,0.5269,189.2,0.0058,0.024,0.1317,0.0592,52.48,11,24.94,1.375,0.0039,2.734,0.0676,3.431,0.0534,2.275,-0.0355,6.459,0.6279,1.623,0.1259,0.29
73A,73,A,Native,Untreated,-0.23,136.6,0.761,12.925,16.973,12.1,7.471,8.4,7.6736,0.1866,131.86,9.6,4030.8,7.214,-261.9,No,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,125.2,31.6,40.19695,-111.65153,Provo Bay,Utah Lake,,,Mow,N,,0,0,0,N, , , , , , , , , , ,,-261.9,-252.4,-198.2,0.368,5.12,9.6,0,22.56,12.76214724,1,Mow,Saline,38.8,24.63,0.0236,0.2089,0.6103,533.3,0.0105,0.0171,0.1245,0.0907,44.88,7.498,38.24,0.9832,0.0068,7.876,0.0534,5.693,0.2721,53.4,0.007,5.838,3.353,0.8326,0.1463,1.094
74A,74,A,Treated,Treated,-0.25,153.1,0.738,13.138,17.8134,12.5,7.566,2.063,8.8889,0.2189,106.33,-2.3,2536.62,7.102,-1940.82,Yes,3,,"phragmites, ?",3,?,"phragmites, ?",3,?,"phragmites, ?",3,?,"phragmites, ?",1,phragmites,phragmites,2.6,25.6,354.4,40.19451,-111.64939,Provo Bay,Utah Lake,UL12,2021,Mow,N,2,11,73.3,1,Y, , , , , , , , , , ,,-1940.82,-146.4,-156.2,0.218,2.56,-2.3,4.6,16.3,15.34803261,2,Mow,Brackish,267,28.66,0.0165,0.2264,0.6414,432,0.0077,0.0179,0.1301,0.0833,48.48,9.277,45.53,0.9755,0.0034,3.11,0.0516,5.906,0.1587,10.14,0.0198,5.743,2.621,0.9579,0.1667,0.5689
75A,75,A,Untreated,Untreated,-0.25,41.2,0.13,3.4,26.2042,2.6,7.565,2.188,2.758,0.2296,22.82,-30,NA,NA,NA,Yes,3,phragmites,"phragmites, ?",1,phragmites,phragmites,3,?,"phragmites, ?",1,phragmites,phragmites,1,phragmites,phragmites,1.8,40.2,15.6,40.18416,-111.65027,Lower Hobble Creek,Utah Lake,,,Untreated,N,,9,60,4,Y,N, , , , , , , , ,,Cause,,206.8,143.8,NA,NA,-30,4.4,NA,12.59736978,2,NA,Brackish,97.3,11.53,0.0015,0.0353,0.2887,153.3,0.0029,0.0073,0.0516,0.0225,16.33,2.649,11.13,0.403,0.0018,0.4519,0.0189,2.044,0.0275,5.259,-0.0011,6.481,0.4791,0.4651,0.048,0.1119
76A,76,A,Treated,Treated,-0.39,32.2,0.129,5.455,42.4258,2.9,7.781,0.9287,2.577,0.2209,16.83,-30,NA,NA,NA,Yes,3,phragmites,"phragmites, tamarisk, ?",1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1.4,93.2,45.4,40.16848,-111.74623,Spanish Fork River,Utah Lake,UL13,2021,Trample + Mow,N,3,15,100,5,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,269.6,289.6,NA,NA,-30,6.6,NA,16.94953389,3,Trample + Mow,Fresh,82.8,14.94,0.0005,0.0452,0.4143,281.3,0.0029,0.0107,0.0579,0.0276,23.18,4.49,25.2,0.8397,0.0008,2.339,0.0214,2.108,0.0372,2.007,0.0051,6.207,0.6459,0.5135,0.0798,0.1175
77A,77,A,Treated,Treated,-0.18,22.9,0.096,4.004,41.9202,1.8,7.91,0.3828,3.873,1.4489,19.16,-30,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,2,phragmites,"phragmites, ?",1,phragmites,phragmites,0,none,none,1,16.6,8.6,40.1686,-111.74382,Spanish Fork River,Utah Lake,UL14,2021,Spray + Trample + Mow,Y,5,13,86.7,4,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,295.2,288.8,NA,NA,-30,6.4,NA,11.07969725,2,Spray + Trample + Mow,Fresh,81.3,10.96,0.0076,0.0299,0.29,226.8,0.0017,0.007,0.0453,0.0123,16.62,3.182,19.51,0.5403,-0.0003,1.278,0.0125,2.07,0.0179,0.9437,-0.0019,6.418,0.4603,0.5751,0.0672,0.0815
78A,78,A,Native,Untreated,-0.52,191,0.624,14.545,23.2965,9.8,7.702,5.962,2.5399,0.1792,44.89,-10.2,5317.333333,6.97,-230.3333333,No,1,american bullrush,american bullrush,1,american bullrush,american bullrush,0,none,none,1,american bullrush,american bullrush,1,american bullrush,american bullrush,0.8,69.6,12.8,40.13719,-111.80391,Lincoln Beach,Utah Lake,,NA,Native,N,NA,0,0,0,N, , , , , , , , , , ,,,-22.6,-47.4,0.54,6.733333333,-10.2,22.2,15.83333333,30.73881702,1,NA,Saline,763.7,17.1,0.025,0.238,0.2675,581.9,0.0039,0.0084,0.0628,0.0621,22.04,10.82,31.51,0.6087,0.0064,14.58,0.0371,4.399,0.1008,16.67,0.0136,5.701,4.861,0.9497,0.1043,0.2466
79A,79,A,Native,Untreated,-0.42,43.1,0.142,6.259,43.9926,2.1,7.899,1.547,2.1776,0.1301,18.48,-21.33333333,3026.333333,6.943333333,-100.2666667,Yes,1,hardstem bullrush,hardstem bullrush,3,hardstem bullrush,hardstem bullrush,4,hardstem bullrush,"hardstem bullrush, ?",3,hardstem bullrush,"hardstem bullrush, ?",5,hardstem bullrush,"hardstem bullrush, phragmites, red stem, ?",3.2,62.2,139.2,40.08752,-111.86323,LaBaron Utah Lake,Utah Lake,,,Native,N,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-60.16,-11.6,8.2,0.833333333,9.366666667,-21.33333333,2.2,12.46666667,16.99176695,2,NA,Brackish,110,12.31,0.0081,0.0438,0.3461,382.6,0.0019,0.0102,0.0461,0.0197,16.12,4.268,23.47,0.5173,0.0027,2.7,0.0142,1.819,0.0272,4.116,0.0007,6.008,1.465,0.4775,0.0693,0.106
80A,80,A,Treated,Treated,-0.54,78.3,0.336,9.114,27.1285,4.4,7.594,2.662,5.1046,0.2297,51.63,-30,NA,NA,NA,Yes,3,phragmites,"phragmites, ?",2,phragmites,"phragmites, ?",1,phragmites,phragmites,4,phragmites,"phragmites, ?",1,phragmites,phragmites,2.2,58.6,48.4,40.08758,-111.86278,LaBaron Utah Lake,Utah Lake,UL15,2020,,N,1,14,93.3,5,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,133.2,181.8,NA,NA,-30,11.8,NA,14.39094514,4,NA,Brackish,200.5,17.58,0.0365,0.0831,0.4975,472.2,0.0042,0.0131,0.092,0.0479,27.45,6.708,30.94,0.7553,0.005,3.833,0.0297,2.579,0.0469,9.32,-0.0029,6.62,2.056,0.6515,0.1047,0.2009
1B,1,B,Native,Untreated,-0.13,272.1,1.917,25.276,13.1855,36,7.669,3.934,8.3929,0.7398,38.47,-15,770.4426667,7.19,-324.7,No,2,Joe Pye Weed,"joe pye weed, nuttel sunflower",2,Joe Pye Weed,"Joe Pye Weed, unknown ",5,showy milkweed,"showy milkweed, hardstem, joe pye weed, turtle",1,american bulrush,american bulrush,1,american bulrush,american bulrush,2.2,111.5,30,40.38164,-111.82273,AF1,Great Salt Lake,,,,N,,0,0,0,N,Y, , ,Meeting Criteria, ,Cause,Cause, , ,Cause,,,-73.2,-97,0.136666667,2.033333333,-15,17.8,17.3,110.1925141,7,NA,Brackish,385.2,10.68,0.0304,0.2151,0.6192,373.5,0.0046,0.0077,0.0653,0.1062,19.39,3.709,36.56,0.7263,0.0164,3.127,0.0199,4.142,0.2222,28.44,0.0121,5.517,2.279,0.505,0.1004,0.3086
2B,2,B,Untreated,Untreated,-0.25,32,0.567,16.908,29.836,8.2,7.905,1.015,3.9691,2.8084,27.82,NA,NA,NA,NA,Yes,1,phragmites,phragmites,3,phragmites,"phragmites, thistle, other apocynum cannabinum",2,phragmites,"phragmites, thistle",1,phragmites,phragmites,1,phragmites,phragmites,1.6,187.2,13.4,40.38318,-111.82105,AF1,Great Salt Lake,,,,N,,11,73.3,5,Y,Y, , ,Meeting Criteria, ,Cause,Cause, , ,Cause,,,211,188,NA,NA,NA,19.4,NA,45.06901833,3,NA,Fresh,381.6,12.99,0.0251,0.1155,0.5117,636.1,0.0039,0.0126,0.0694,0.0658,30.74,5.66,62.1,1.525,0.0013,1.144,0.0325,3.371,0.0892,5.845,-0.0051,5.595,2.856,0.493,0.1463,0.2767
3B,3,B,Treated,Treated,-0.85,44.1,0.249,4.56,18.2775,3.5,7.971,5.076,2.6818,0.7058,8.4,NA,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,,1,phragmites,phragmites,3,phragmites,"phragmites, thistle, unknown",1,phragmites,phragmites,1.4,64,26,40.38325,-111.9028,Jordan Willows Park,Great Salt Lake,,,,N,,15,100,5,Y,Y, , ,Cause, , , , ,Cause, ,,,198.6,220.6,NA,NA,NA,11.2,NA,65.54992912,3,NA,Saline,203.3,39.31,0.0213,0.1213,0.6664,178.5,0.0064,0.0287,0.1519,0.0865,62.48,13.25,41.48,0.522,0.0045,12.51,0.0779,1.834,0.0708,5.71,-0.0209,6.963,0.9694,1.464,0.1834,0.2296
4B,4,B,Untreated,Untreated,-0.12,52.1,0.628,10.48,16.685,10.5,7.923,1.044,6.1769,6.0105,27.55,-30,NA,NA,NA,Yes,7,?,?,7,?,?,1,phragmites,phragmites,2,phragmites,"phragmites, thistle",1,phragmites,phragmites,3.6,242.2,205.6,40.39975,-111.81731,Mitchell Hollow AF,Great Salt Lake,,,,N,,6,40,3,Y,Y, , ,Meeting Criteria, ,Cause,Cause, , ,Cause,,,272.2,247.2,NA,NA,-30,6.6,NA,50.40692513,3,NA,Fresh,275,18.94,0.0573,0.0834,0.5952,353.9,0.006,0.0134,0.0874,0.0752,40.54,4.537,50.41,3.235,0.0017,1.047,0.0336,3.94,0.1371,4.476,0.0055,6.062,1.414,0.824,0.1364,0.3058
5B,5,B,Native,Untreated,-1.07,57,1.431,26.952,18.8303,25.6,7.729,5.505,2.0284,25.2627,29.38,-30,NA,NA,NA,No,6,argentina anserina,"snowy milkweed, sedge, silverweed, argentina answerina, ?",7,grass,"silverweed, horseweed, showy milkweed, other milkweed, grass, sedge",6,argentina answerina,"horseweed, silverweed, argentina anserina, ?",8,argentina answerina,"showy milkweed, grass, sedge, unknown milkweed, horseweed, unknown, argentina anserina",4,alkali bullrush,"argentina answerina, thistle, sedge, alkali bullrush",6.2,48.8,102.2,40.36545,-111.80767,AF2,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,,247.6,343.6,NA,NA,-30,5.6,NA,107.7060274,11,NA,Saline,64.2,5.553,0.0375,0.144,0.8583,723.4,0.0045,0.0043,0.0542,0.0819,19.68,2.715,34.24,1.149,0.0114,2.533,0.0084,2.438,0.1905,21.95,0.0069,5.306,2.982,0.2634,0.0801,0.2405
6B,6,B,Native,Untreated,-0.35,371.1,2.438,32.804,13.4564,40.2,7.582,9.12,3.6466,20.8308,35.37,-30,NA,NA,NA,No,7,sedge,"sedge, mint, thistle, ?",5,sedge,?,7,sedge,"sedge, horseweed, milkweed, thistle, grass, ?",8,argentina anserina,"argentina anserina, milkweed, horseweed, grass, ?",8,argentina anserina,"argentina anserina, milkweed, silverweed, mint, horseweed, sedge, grass, ?",7,84,242,40.36442,-111.80884,AF2,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,,246.4,227.4,NA,NA,-30,7.8,NA,152.4231059,8,NA,Saline,203.3,7.967,0.0455,0.1704,0.5289,272,0.0064,0.0049,0.0553,0.1239,18.69,3.942,21.88,0.3004,0.0251,5.254,0.016,2.901,0.3139,44.11,-0.0003,5.527,1.234,0.4161,0.0735,0.3342
7B,7,B,Untreated,Untreated,-0.25,73.9,0.38,13.052,34.3439,5.6,8.352,2.832,2.8506,0.1582,20.49,-3.333333333,3710,7.875,-210.2666667,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,282.4,10.8,40.37913,-111.90814,Jordan River Trail,Great Salt Lake,,,,N,,15,100,5,Y,Y, , ,Cause, , , , ,Cause, ,,,-43.4,-52.8,0.166666667,2.1,-3.333333333,26.6,18.13333333,41.01038096,1,NA,Brackish,183.8,25.93,0.0668,0.1563,0.4789,403.7,0.0054,0.0227,0.1066,0.0658,44.88,10.97,62.47,1.352,0.0195,6.16,0.0663,2.613,0.0939,6.483,-0.0097,6.995,1.711,0.9403,0.2024,0.3096
8B,8,B,Native,Untreated,-0.35,193.2,1.599,26.992,16.8788,35.9,7.636,5.94,9.6759,3.2524,42.35,-30,NA,NA,NA,No,5,ambrosia,"ambrosia, primrose, ?",2,unknown,"unknown, primrose",2,ambrosia,"ambrosia, ?",11,3 square bullrush,"3 square bullrush, ambrosia, equestium, ?",10,sedge,"equestium, verbena, milkweed, thistle, 3 square bullrush, alkali bullrush",6,65.2,201,40.36619,-111.81018,AF2,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,,223.4,200.2,NA,NA,-30,6.6,NA,83.49245178,9,NA,Saline,331.8,11.45,0.0479,0.1285,0.663,436.2,0.0068,0.012,0.081,0.084,41.96,2.743,25.58,0.8381,0.017,2.263,0.0341,3.119,0.1223,25.01,-0.0053,5.716,1.665,0.4412,0.09,0.2799
9B,9,B,Treated,Treated,-0.1,233.1,1.789,23.808,13.3075,28.3,7.793,2.626,12.039,6.7369,51.91,-26,515,6.81,-307.2,Yes,2,phragmites,"phragmites, ?",4,northern bedstraw,"northern bedstraw, phragmites, cattail, milkweed",4,stinging nettle,"stinging nettle, cattail, milkweed, ?",4,cattail,"cattail, stinging nettle, milkweed, ?",4,cattail,"cattail, stinging nettle, ?",3.6,194.6,87,40.27503,-111.74237,Powell Slough,Utah Lake,UL1,2021,,N,,4,26.7,1,Y,Y, , , , ,Cause, , , , ,,-61.44,90,76.6,6.07,6.9,-26,3.6,20,76.20991497,6,Mow + Seed,Brackish,1520.6,14.61,0.047,0.1767,0.72,305,0.006,0.011,0.1409,0.2211,29.68,4.998,33.11,0.4394,0.0157,1.592,0.0587,5.415,0.227,22.9,0.0205,6.599,1.316,0.6159,0.138,0.6085
10B,10,B,Native,Untreated,-0.1,212.7,1.608,23.735,14.763,26.8,7.792,3.306,8.4019,5.8766,58.04,-30,NA,NA,NA,No,,mint,"mint, milkweed, swamp verbone, ?",2,cattail,"cattail, milkweed",5,vecbina,"swamp milkweed, gallion, canada thistle, stinging nettle",4,verbena,"verbena, milkweed, gallium, stinging nettle",5,verbena,"verbena, mentha, cattail, swampy milkweed, stinging nettle",NA,158.4,60.6,40.27469,-111.74263,Powell Slough,Utah Lake,,,,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,,180.6,169.6,NA,NA,-30,8.4,NA,61.2647698,8,Trample,Brackish,441.1,12.63,0.0417,0.1918,0.8001,444.9,0.0057,0.0084,0.1139,0.1726,22.75,5.024,36.31,0.4876,0.0109,2.915,0.0393,5.074,0.2058,20.38,0.0071,5.321,1.909,0.5282,0.1325,0.4507
11B,11,B,Treated,Treated,0.21,262,2.36,31.466,13.3349,47.4,7.522,4.133,10.7215,4.7476,73.55,-30,NA,NA,NA,Yes,3,blue vervaine,"blue vervaine, stinging nettle, phragmites",4,phragmites,"phragmites, blue vervaine, stinging nettle, ?",3,mint,"mint, phragmites, swamp milkweed",4,mint,"mint, phragmites, blue vervaine, swamp milkweed",3,cattail,"cattail, mint, stinging nettle",3.4,187.6,115.4,40.27276,-111.74384,Powell Slough,Utah Lake,UL2,2020,,N,,2,13.3,1,Y,Y, , , , ,Cause, , , , ,,,199,196.8,NA,NA,-30,3.4,NA,70.95475279,6,Trample,Saline,587.9,9.208,0.0346,0.216,0.7854,271.8,0.0032,0.008,0.1274,0.0921,20.32,3.124,19.19,0.2788,0.0098,2.643,0.0255,5.177,0.0802,29.67,0.0405,5.509,1.144,0.4564,0.0925,0.291
12B,12,B,Native,Untreated,0.03,367,1.772,28.317,15.9837,36,7.567,3.523,6.9362,0.0626,69.28,-11,1321,6.963333333,-241,Yes,2,hardstem bullrush,"hardstem bullrush, phragmites",2,cattail,"hardstem bullrush, cattail",2,hadstem bullrush,"hardstem bullrush, cattail",2,cattail,"cattail, stinging nettle",3,cattail,"cattail, stinging nettle, ?",2.2,187.4,17.6,40.27088,-111.7411,Powell Slough,Utah Lake,,,,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,-144.6,-21.8,-124,0.216666667,2.766666667,-11,39.2,18.9,56.55981808,5,Trample,Brackish,185.2,9.648,0.0618,0.2068,0.5443,353.8,0.0035,0.0126,0.0946,0.1015,26.72,4.126,22.08,0.5035,0.0422,3.962,0.0355,4.679,0.1016,35.92,0.0222,5.207,1.517,0.4733,0.1358,0.4024
13B,13,B,Native,Untreated,-0.06,347.3,1.761,31.714,18.0133,33.7,7.55,3.865,4.9586,1.562,79.35,-26,NA,NA,NA,No,9,mantha arvensis,"mentha arvensis, catilleja, exilis, ?",7,typha lat,?,5,typha lat,?,6,sparganium,"sparganium, ?",6,?,?,6.6,164.8,175,40.27092,-111.74019,Powell Slough,Utah Lake,,,,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,,110,101,NA,NA,-26,9.8,NA,49.07548386,5,Trample,Brackish,0.8,5.946,0.0753,0.1869,0.7987,458.2,0.0031,0.0117,0.065,0.0737,24.68,3.175,24.86,0.8735,0.0319,5.105,0.0231,4.528,0.0528,37.38,0.0067,4.957,2,0.2897,0.1121,0.2686
14B,14,B,Treated,Treated,-0.31,245.2,1.982,30.174,15.2271,36.6,7.622,3.969,3.3544,4.1051,67.74,-30,NA,NA,NA,Yes,3,phragmites,"phragmites, ?",4,phragmites,"phragmites, ?",2,phragmites,"phragmites, ?",5,phragmites,"phragmites, ?",2,phragmites,"phragmites, ?",3.2,171.2,75,40.27085,-111.73919,Powell Slough,Utah Lake,UL3,2021,,N,,12,80,5,Y,Y, , , , ,Cause, , , , ,,,194,226,NA,NA,-30,9.4,NA,64.7009449,2,Trample,Brackish,466.6,7.895,0.0404,0.1772,0.8554,455.4,0.005,0.0067,0.0677,0.0961,21.99,3.743,25.9,0.5428,0.007,5.053,0.0172,4.909,0.1805,21.15,0.0001,6.069,1.853,0.3659,0.0946,0.2967
15B,15,B,Treated,Treated,-0.24,132.7,0.767,17.638,23.0008,19,7.439,1.914,5.79,0.0882,42.83,-20.8,478.795,6.75,-268.7,Yes,5,?,?,1,phragmites,phragmites,2,phragmites,"phragmites, cirsium ?",2,phragmites,"phragmites, ?",4,phragmites,"phragmites, ?",2.8,182.4,180.2,40.27107,-111.73754,Powell Slough,Utah Lake,UL4,2021,,N,,13,86.7,4,Y,Y, , , , ,Cause, , , , ,,-107.48,-69,-97.6,0.075,1,-20.8,5,20.75,39.60038926,3,Trample + Mow,Brackish,135.9,9.12,0.0138,0.1015,0.4953,345.4,0.0019,0.008,0.0512,0.0475,17.15,4.121,38.69,0.4532,0.0054,1.167,0.0142,3.245,0.08,14.42,-0.0104,5.106,1.468,0.4338,0.1032,0.1303
16B,16,B,Untreated,Untreated,-0.76,68,1.998,27.137,13.5807,34.1,7.581,1.701,7.383,39.8458,44.77,-30,NA,NA,NA,Yes,3,phragmites,"phragmites, galium apar., cirsium arv.",3,phragmites,"phragmites, gallium apar, ciraruence",3,phragmites,"phragmites, gallium apar., cir arv",3,phragmites,"cir arv, galium aparine, phroes? ",2,phragmites,"phragmites, gallium",2.8,182,30.2,40.27215,-111.73804,Powell Slough,Utah Lake,,,,N,,11,73.3,5,Y,Y, , , , ,Cause, , , , ,,,299.4,305.4,NA,NA,-30,7,NA,98.68713813,3,NA,Brackish,169.3,14.17,0.0161,0.2098,1.071,319.2,0.0027,0.0059,0.0569,0.0435,13.44,4.646,19.98,0.4533,0.0054,1.083,0.0129,6.58,0.0847,22.94,0.0096,6.138,1.357,0.6894,0.0599,0.0939
17B,17,B,Treated,Treated,-0.28,52.3,0.365,10.341,28.2933,5.4,7.309,0.6445,5.2591,1.7224,34.24,NA,NA,NA,NA,Yes,2,phragmites,"phragmites, cattail",2,phragmites,"phragmites, cattail",2,cattail,"cattail, phragmites",2,cattail,"cattail, phragmites",2,cattail,"cattail, phragmites",2,188.4,8.4,40.94368,-111.90174,FBWMA,Great Salt Lake,GSL1,,,N,,9,60,4,Y, , , , , , , , , , ,,,297,282.6,NA,NA,NA,27.6,NA,23.57280555,2,NA,Fresh,145.2,48.54,0.0128,0.1437,0.519,98.31,0.0101,0.0595,0.3684,0.2099,106.3,21.94,53.6,1.585,0.0006,1.149,0.1313,3.044,0.1457,2.2,-0.0078,6.159,0.2002,3.982,0.2668,0.4911
18B,18,B,Native,Untreated,-0.25,219.4,0.661,11.338,17.1415,16.1,6.625,2.007,5.5621,0.0843,39.02,0,1949,7.075,-167.5,No,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,2,hardstem bullrush,"hardstem bullrush, cattail",1,bittersweet nightshade,bittersweet nightshade,1.2,144,12.2,40.93313,-111.9062,FBWMA,Great Salt Lake,,,,Y,,1,6.7,0,N, , , , , , , , , , ,,-67,-129,-202.2,0.145,1.9,0,60,19.7,37.4598781,3,Spray,Brackish,94,32.56,0.0213,0.1275,0.2573,25.43,0.0071,0.0462,0.2861,0.1743,73.28,14.51,31.91,0.7144,0.015,4.422,0.1028,2.999,0.1084,17.77,-0.0097,5.707,0.1021,2.627,0.1843,0.3443
19B,19,B,Treated,Treated,-0.55,39.2,0.136,5.703,42.0639,2.3,8.427,1.528,1.3812,0.0585,20.17,2,3242.333333,7.093333333,-290.3,No,1,grass,grass,3,grass?,"grass, cattail, ?",1,grass?,grass?,1,cattail,cattail,1,grass,grass,1.4,89,285.4,40.93401,-111.90578,FBWMA,Great Salt Lake,GSL2,,,Y,,0,0,0,N, , , , , , , , , , ,,-174.18,-272.8,-294,0.013333333,0.2,2,7.6,23.06666667,14.91025859,3,Spray,Brackish,58.6,30.58,0.0089,0.1638,0.3808,49.8,0.0054,0.0248,0.1347,0.125,47.99,15.98,54.36,0.7383,0.0007,5.776,0.0448,2.8,0.2599,1.799,-0.0036,5.897,0.1893,2.084,0.1708,0.2697
20B,20,B,Native,Untreated,-0.45,339.6,0.659,13.023,19.7765,14,7.659,14.26,5.7058,0.0787,89.72,-43,7444.666667,7.153333333,-283.2333333,No,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,161.2,40.4,40.91323,-111.9235,FBWMA,Great Salt Lake,,,,Y,,0,0,0,N, , , , , , , , , , ,,-169.94,-280,-302,0.07,1.066666667,-14.2,27.2,27.5,16.24232944,1,Spray,Saline,151.3,26.16,0.0334,0.3206,0.3988,258.5,0.007,0.0304,0.1376,0.1843,54.74,16.16,72.32,1.134,0.0116,29.04,0.0624,4.003,0.2299,24.8,0.0092,10.38,0.7694,1.641,0.3163,0.4622
21B,21,B,Native,Untreated,-0.59,411.9,0.909,15.721,17.2918,16,7.702,15.55,6.8294,0.0785,67.55,0,14825.33333,7.133333333,-179.6333333,No,1,cattail,cattail,2,unknown,unknown,1,?,?,1,cattail,cattail ,2,?,?,1.4,74,8.8,40.91499,-111.92265,FBWMA,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,-107.78,-143.2,-234.8,0.056666667,0.766666667,0,2.4,23.96666667,29.75710622,2,NA,Saline,376.9,40.76,0.0679,0.2341,0.5575,277.3,0.0104,0.0333,0.2299,0.3431,74.84,18.44,62.61,1.194,0.022,38.75,0.0769,5.386,0.5156,34.47,-0.0049,5.709,1.037,2.188,0.2644,0.7729
22B,22,B,Treated,Treated,-1.11,127.9,0.536,9.274,17.3063,8.4,8.276,8.147,3.3175,0.0677,101.49,5,75542.26667,7.79,-239.9333333,Yes,1,Alkali Bullrush,Alkali bullrush,1,Alkali bullrush,Alkali bullrush,3,phragmites,"phragmites, alkali bullrush, ?",3,?,"phragmites, alkali bullrush, ?",2,phragmites,"phragmites, ?",2,63.4,30,40.91232,-111.92378,FBWMA,Great Salt Lake,GSL3,,,Y,,5,33.3,2,Y, , , , , , , , , , ,,-143.96,-309.2,-363.2,14.40666667,3.433333333,5,0,30.03333333,11.67867849,3,Spray,Saline,160.1,54.14,0.0395,0.3328,0.5118,92.6,0.0121,0.0602,0.4399,0.3098,115.7,28.08,64.75,1.448,0.0074,31.25,0.1304,3.567,0.3487,12.91,-0.0079,6.087,0.4048,4.269,0.3152,0.6796
23B,23,B,Treated,Treated,-3.52,122.3,0.876,12.029,13.7335,13.5,7.627,13.39,7.8092,0.8103,96.41,-30,NA,NA,NA,Yes,5,rabbit foot,"rabbit foot, phragmites, cattail, ?",5,?,"phragmites, rabbit foot, ?",2,rabbit foot,"rabbit foot, foxtail",7,?,"rabbit foot, ?",6,?,"phragmites, ?",5,56.2,1153,40.91316,-111.94129,FBWMA,Great Salt Lake,GSL4,,,Y,,0,0,0,N, , , , , , , , , , ,,,253.4,203.6,NA,NA,-30,2.2,NA,20.09250979,5,Spray,Saline,284.8,36.84,0.0397,0.248,0.6826,233.2,0.0118,0.0291,0.2206,0.4969,66.25,15.85,66.97,1.116,0.0079,55.08,0.0628,4.994,0.6891,16.45,-0.0035,7.061,0.7642,1.527,0.2542,1.123
